donor,donation_full_name,event_name,institution,donorgroup,donation_type,amount_exact,amount_range_low,amount_range_high,amount_other,donation_date_start,donation_date_end,collection_date,data_source_name,data_source_url,donation_class,donation_list,event_date_title
Robert Cratchit Fund of the Austin Community Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Grace K. Culbertson Charitable Trust,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Constans Culver Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Maurice J. and Jane M. Cunniffe Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Filomen M. D’Agostino Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Sarah K. de Coizart Article TENTH Perpetual Charitable Trust,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
"Deeds Foundation, Inc.",,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Dillon Fund,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The D. M. Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Douglass Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
"The Dreitzer Foundation, Inc.",,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
JRS Dryfoos Charitable Lead Trust,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Ducommun and Gross Family Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
"E. H. A. Foundation, Inc.",,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
"Elephant Rock Foundation, Inc.",,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Enoch Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Epstein Teicher Philanthropies,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
"Exploring The Arts, Inc.",,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
"Sherman Fairchild Foundation, Inc.",,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Robert & Bobbie Falk,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Philanthropic Fund,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Alice Shaw Farber Unitrust,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Feil Family Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Steven & Suzanne Feldman Family Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Fernando Family Trust,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Finkelstein Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Fisher Brothers Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Marjorie M. Fisher Fund,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Frelinghuysen Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
"French Heritage Society, Inc.",,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Helen Clay Frick Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The Fried Foundation,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Dorothy S. Fried Trust,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
The L.W. Frohlich Charitable Trust,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
Edwin F. Gamble Charitable Lead Trust,,In the Met's 2009-2010 fiscal year,The Metropolitan Museum of Art,Foundations and Trusts,p,,1000,,,2009-07-01,2010-06-30,2017-01-17,2009-2010 Annual Report for the Metropolitan Museum of Art,http://www.metmuseum.org/-/media/Files/About%20The%20Met/Annual%20Reports/2009_2010/Contributors10.pdf?la=en,Foundations and Trusts,2009-2010 Annual Report: Foundations,
